Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave AIM Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"1","Unassigned","Aegis Logistics Ltd","https://aegislogistics.com","Yes","Yes","Yes","1 out of 10","15","40","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Aegis_Logistics_Ltd/screenshots/Aegis_Logistics_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Aegis Logistics Ltd)","Company Secretary & Compliance Officer","Solutions@AegisLogistics.com","General Contact Email","Managing Director / CEO","Solutions@AegisLogistics.com"
"2","Unassigned","Utique Enterprises Ltd","https://utiqueshop.com","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Utique_Enterprises_Ltd/screenshots/Utique_Enterprises_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Utique Enterprises Ltd)","Company Secretary & Compliance Officer","info@utiqueshop.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@utiqueshop.com"
"3","Unassigned","Bombay Dyeing & Manufacturing Company Ltd","https://bombaydyeing.com","Yes","Yes","Yes","1 out of 10","19","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Bombay_Dyeing___Manufacturing_Company_Ltd/screenshots/Bombay_Dyeing___Manufacturing_Company_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Bombay Dyeing & Manufacturing Company Ltd)","Company Secretary & Compliance Officer","customerfeedback@bombaydyeing.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","grievance_redressal_cell@bombaydyeing.com"
"4","Unassigned","Asian Hotels (North) Ltd","https://asianhotelsnorth.com","Yes","Yes","Yes","1 out of 10","13","48","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Asian_Hotels__North__Ltd/screenshots/Asian_Hotels__North__Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Asian Hotels (North) Ltd)","Company Secretary & Compliance Officer","investorrelations@ahlnorth.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","sunil.upadhyay@ahlnorth.com"
"5","Unassigned","Atul Ltd","https://atulsongaday.me","Yes","Yes","Yes","1 out of 10","19","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Atul_Ltd/screenshots/Atul_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Atul Ltd)","Company Secretary & Compliance Officer","info@atulsongaday.me","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@atulsongaday.me"
"6","Unassigned","Bajaj Electricals Ltd","https://bajajelectricals.com","Yes","Yes","Yes","1 out of 10","17","32","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Bajaj_Electricals_Ltd/screenshots/Bajaj_Electricals_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Bajaj Electricals Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","General Contact Email","Managing Director / CEO","Not publicly disclosed"
"7","Unassigned","Bajaj Hindusthan Sugar Ltd","https://bajajhindusthan.com","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Bajaj_Hindusthan_Sugar_Ltd/screenshots/Bajaj_Hindusthan_Sugar_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Bajaj Hindusthan Sugar Ltd)","Company Secretary & Compliance Officer","info@bajajhindusthan.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@bajajhindusthan.com"
"8","Unassigned","Force Motors Ltd","https://forcemotors.com","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Force_Motors_Ltd/screenshots/Force_Motors_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Force Motors Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"9","Unassigned","Bajaj Finance Ltd","https://bajajhousingfinance.in","Yes","Yes","Yes","1 out of 10","35","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Bajaj_Finance_Ltd/screenshots/Bajaj_Finance_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Bajaj Finance Ltd)","Company Secretary & Compliance Officer","bhflwecare@bajajhousing.co.in","General Contact Email","Managing Director / CEO","bhflwecare@bajajhousing.co.in"
"10","Unassigned","Balrampur Chini Mills Ltd","https://chini.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Balrampur_Chini_Mills_Ltd/screenshots/Balrampur_Chini_Mills_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Balrampur Chini Mills Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
